 property, count ,
 http://purl.org/dc/elements/1.1/format , 2 ,
 http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by , 6 ,
 http://www.cidoc-crm.org/cidoc-crm/P12i_was_present_at , 2 ,
 http://www.cidoc-crm.org/cidoc-crm/P138i_has_representation , 8 ,
 http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by , 27 ,
 http://www.cidoc-crm.org/cidoc-crm/P190_has_symbolic_content , 76 ,
 http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by , 47 ,
 http://www.cidoc-crm.org/cidoc-crm/P22_transferred_title_to , 12 ,
 http://www.cidoc-crm.org/cidoc-crm/P23_transferred_title_from , 12 ,
 http://www.cidoc-crm.org/cidoc-crm/P24_transferred_title_of , 12 ,
 http://www.cidoc-crm.org/cidoc-crm/P28_custody_surrendered_by , 3 ,
 http://www.cidoc-crm.org/cidoc-crm/P29_custody_received_by , 7 ,
 http://www.cidoc-crm.org/cidoc-crm/P2_has_type , 139 ,
 http://www.cidoc-crm.org/cidoc-crm/P30_transferred_custody_of , 7 ,
 http://www.cidoc-crm.org/cidoc-crm/P32_used_general_technique , 3 ,
 http://www.cidoc-crm.org/cidoc-crm/P3_has_note , 7 ,
 http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension , 7 ,
 http://www.cidoc-crm.org/cidoc-crm/P45_consists_of , 7 ,
 http://www.cidoc-crm.org/cidoc-crm/P49_has_former_or_current_keeper , 11 ,
 http://www.cidoc-crm.org/cidoc-crm/P4_has_time-span , 57 ,
 http://www.cidoc-crm.org/cidoc-crm/P52_has_current_owner , 6 ,
 http://www.cidoc-crm.org/cidoc-crm/P65_shows_visual_item , 11 ,
 http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by , 13 ,
 http://www.cidoc-crm.org/cidoc-crm/P72_has_language , 29 ,
 http://www.cidoc-crm.org/cidoc-crm/P7_took_place_at , 29 ,
 http://www.cidoc-crm.org/cidoc-crm/P82a_begin_of_the_begin , 48 ,
 http://www.cidoc-crm.org/cidoc-crm/P82b_end_of_the_end , 50 ,
 http://www.cidoc-crm.org/cidoc-crm/P9_consists_of , 24 ,
 http://www.w3.org/1999/02/22-rdf-syntax-ns#type , 907 ,
 http://www.w3.org/2000/01/rdf-schema#label , 188 ,
 http://www.w3.org/ns/prov#actedOnBehalfOf , 3 ,
 http://www.w3.org/ns/prov#endedAtTime , 2 ,
 http://www.w3.org/ns/prov#role , 2 ,
 http://www.w3.org/ns/prov#startedAtTime , 2 ,
 http://www.w3.org/ns/prov#type , 59 ,
 http://www.w3.org/ns/prov#used , 9 ,
 http://www.w3.org/ns/prov#wasAssociatedWith , 3 ,
 http://www.w3.org/ns/prov#wasAttributedTo , 26 ,
 http://www.w3.org/ns/prov#wasDerivedFrom , 32 ,
 http://www.w3.org/ns/prov#wasGeneratedBy , 2 ,
