 property , count,
 http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by , 5 ,
 http://www.cidoc-crm.org/cidoc-crm/P11_had_participant , 3 ,
 http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by , 1 ,
 http://www.cidoc-crm.org/cidoc-crm/P190_has_symbolic_content , 76 ,
 http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by , 59 ,
 http://www.cidoc-crm.org/cidoc-crm/P22_transferred_title_to , 9 ,
 http://www.cidoc-crm.org/cidoc-crm/P23_transferred_title_from , 9 ,
 http://www.cidoc-crm.org/cidoc-crm/P24_transferred_title_of , 8 ,
 http://www.cidoc-crm.org/cidoc-crm/P28_custody_surrendered_by , 7 ,
 http://www.cidoc-crm.org/cidoc-crm/P29_custody_received_by , 7 ,
 http://www.cidoc-crm.org/cidoc-crm/P2_has_type , 73 ,
 http://www.cidoc-crm.org/cidoc-crm/P30_transferred_custody_of , 7 ,
 http://www.cidoc-crm.org/cidoc-crm/P32_used_general_technique , 15 ,
 http://www.cidoc-crm.org/cidoc-crm/P3_has_note , 5 ,
 http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension , 5 ,
 http://www.cidoc-crm.org/cidoc-crm/P49_has_former_or_current_keeper , 14 ,
 http://www.cidoc-crm.org/cidoc-crm/P4_has_time-span , 50 ,
 http://www.cidoc-crm.org/cidoc-crm/P52_has_current_owner , 5 ,
 http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by , 11 ,
 http://www.cidoc-crm.org/cidoc-crm/P72_has_language , 7 ,
 http://www.cidoc-crm.org/cidoc-crm/P7_took_place_at , 12 ,
 http://www.cidoc-crm.org/cidoc-crm/P82a_begin_of_the_begin , 44 ,
 http://www.cidoc-crm.org/cidoc-crm/P82b_end_of_the_end , 48 ,
 http://www.cidoc-crm.org/cidoc-crm/P9_consists_of , 11 ,
 http://www.w3.org/1999/02/22-rdf-syntax-ns#type , 727 ,
 http://www.w3.org/2000/01/rdf-schema#label , 158 ,
 http://www.w3.org/ns/prov#actedOnBehalfOf , 5 ,
 http://www.w3.org/ns/prov#type , 75 ,
 http://www.w3.org/ns/prov#used , 18 ,
 http://www.w3.org/ns/prov#wasAssociatedWith , 5 ,
 http://www.w3.org/ns/prov#wasAttributedTo , 19 ,
 http://www.w3.org/ns/prov#wasDerivedFrom , 35 ,
 http://www.w3.org/ns/prov#wasGeneratedBy , 5 ,
